year,total,fuel_combustion__total,fuel_combustion__energy_industries,fuel_combustion__manufacturing_construction,fuel_combustion__transport,fuel_combustion__other_sectors,fuel_combustion__other,fugitive_emissions__total,fugitive_emissions__solid_fuels,fugitive_emissions__oil_gas_other
2001,16087.65246312393,15621.082587263823,6311.778535246117,2204.9787202827224,3860.563555795142,3240.4965876862434,3.2651882536,466.56987586010666,417.604963643838,48.96491221626866
2002,16240.146732364303,15730.131720827045,6564.3211145749565,2234.207914979542,3909.377792721693,3018.959710297254,3.2651882536,510.01501153725815,462.89594566269596,47.11906587456213
2003,15920.48051497134,15382.03087589489,6289.375258858405,2162.404118798426,3959.024648651331,2967.9616613331273,3.2651882536,538.4496390764491,486.647528696823,51.80211037962608
2004,16310.64872425021,15772.027656553399,6421.86849991294,2311.1322474947488,4137.015896464066,2898.5888442235446,3.4221684581,538.6210676968109,487.4180629259515,51.20300477085934
2005,16542.81969382536,16016.510636186036,6448.198233522365,2446.514345261866,4406.824367441357,2711.645709625049,3.3279803354,526.3090576393238,473.54362388570974,52.765433753614
2006,16720.23798172302,16182.675030364735,6504.660535643266,2583.3251323760196,4642.734451635617,2448.6269303744334,3.3279803354,537.5629513582865,486.4606887105856,51.10226264770085
2007,16897.157879858903,16352.242070592154,6725.747024987812,2345.080850704459,5246.23193406495,2031.6973002950338,3.4849605399,544.9158092667484,493.02140618858675,51.89440307816165
2008,17904.114180152756,17377.038666940807,6498.680646041586,2317.593347020505,6166.82902573688,2390.3800182534746,3.55562988836181,527.0755132119479,477.61259084260337,49.46292236934448
2009,16126.060496280874,15606.772010178402,6222.866885283908,1942.038362689506,5162.792196791928,2275.7330550417432,3.34151037131653,519.2884861024709,472.9677744598711,46.32071164259978
2010,16402.719816808938,15880.949708078468,6356.243927203277,1916.0815244455534,5303.276597805589,2302.4567453356144,2.89091328843399,521.7701087304691,473.63851436891775,48.13159436155134
2011,16326.399309498049,15794.995991665368,6376.100708192558,1718.2752958104618,5654.170609021781,2043.078180536541,3.37119810402634,531.4033178326814,490.7817145825336,40.62160325014785
2012,15703.712184306796,15186.10735958096,6066.8780471714945,1650.114955297298,5673.41959444611,1792.315338184581,3.37942448147673,517.604824725836,478.98002731813165,38.6247974077043
2013,14974.079952640326,14515.213357311644,5785.884561810112,1643.861995385841,5372.676768929265,1709.7743680058118,3.01566318061363,458.8665953286825,421.47101239224367,37.39558293643884
2014,13279.913895965412,12920.946031495047,4460.076844148782,1649.9026816029873,5389.3189743996,1417.8935817151737,3.75394962850351,358.96786447036646,325.43802802236326,33.52983644800322
2015,13430.935855109547,13060.51789174398,4573.482116879438,1591.1221496401256,5360.383821561743,1531.8286311475115,3.70117251516194,370.4179633655651,334.83690494735,35.58105841821511
2016,14267.083151589033,13870.007241490368,4942.33166723279,1598.0404373074298,5734.7548744332435,1591.242506864757,3.63775565214803,397.07591009866434,359.2703833691555,37.80552672950883
2017,14345.839071831831,13937.41544696598,4929.9359059769085,1678.5553951101917,5865.056799472087,1459.7280578388936,4.13928856790099,408.42362486585,368.56310304416274,39.86052182168729
2018,14183.335067058362,13793.623360317344,4816.234976716963,1827.7943532428865,5817.553439118362,1328.128151625151,3.91243961398213,389.71170674101825,350.643060708025,39.06864603299324
2019,13665.255256505148,13287.040909034944,4583.485335719715,1843.1730524902325,5592.672066382525,1263.699814291763,4.01064015070915,378.2143474702029,339.0341648580905,39.1801826121124
