year,total_source,energy_industries,manufacturing_construction_fuels,transport,industrial_processes,residential_commercial_agricultural_forestry_fishing_fuels,agriculture,waste,international_aviation,international_navigation,co2_emissions_from_biomass,others,lulucf
1999,18956.06722144813,5287.450142308858,2296.362495422368,3729.726175797206,1099.492828338277,3418.631256553267,1784.157432316439,816.3538183175452,60.0853227828,,2525.283106484547,523.8930723941722,-6095.772130573293
2000,18736.44500365305,5592.95776023007,2293.438728812481,3676.117082377669,1141.325026635718,2793.322667610508,1871.157218660298,850.2182856801645,69.29181833839998,,2575.590017483464,517.9082336461456,-6197.520580334917
2001,20005.41318870762,6310.543241615683,2212.708519097479,3837.172793792819,1197.129300843065,3227.039105441018,1845.226625288445,865.9655255514695,78.456437670604,,3193.632386139397,509.62807707763955,-6248.212553560292
2002,20277.58814101258,6563.202567921164,2244.527626783632,3904.1748344284,1204.0800544709,3045.774890649537,1900.852660739891,857.7525163070407,80.8828432948368,,2679.878737693144,557.2229897120212,-7367.217993074201
2003,19947.85322012075,6289.987325027238,2174.92920700854,3953.673766787709,1271.639362508384,2990.171721181347,1808.511290997384,871.6309642708972,77.10949757126,,2941.747116093454,587.3095823392539,-7045.129179126481
2004,20344.78195799128,6422.238988138507,2325.438090669641,4132.144391467687,1322.055307416907,2927.653682081602,1761.618141619746,866.2810156056713,57.68206671127599,,2721.692259809264,587.3523409915211,-7190.339534461687
2005,20595.82365192981,6449.283897733463,2464.132211434577,4401.345895475234,1394.868197189202,2716.223021487069,1769.143133415147,827.9027641590042,61.35096027284055,68.75088,3314.753672204088,572.9245310361165,-7230.165425851985
2006,20769.40879536121,6505.651750900774,2599.94864496337,4637.354031608292,1439.096380611895,2460.217140893727,1767.715370379963,775.6254029118553,71.03642258342224,94.19183064,2921.129019623483,583.8000730913412,-7214.36498376363
2007,20954.50861059587,6726.898637136408,2362.834981158305,5239.952781905618,1449.046783233174,2042.568867327516,1825.113901569189,716.7224079639008,93.57875750579718,158.56296708,3228.117521972735,591.3702503017624,-7560.600493669164
2008,21679.53038869076,6500.178422903335,2334.85686114773,6159.085300093378,1322.538873165317,2399.028897044284,1748.470642326046,642.0948847641656,103.9516109656337,213.8415091077658,3420.922065613596,573.2765072465025,-7308.023730639458
2009,19510.65279981903,6216.703164691429,1957.242626213672,5158.766527499439,985.9099732261653,2283.465558585317,1758.229839646414,586.1952725208504,77.90854610238785,105.198729651504,3183.176196777518,564.1398374357428,-7241.105111239518
2010,19741.37622970888,6346.730894556923,1932.304141867118,5299.221126544413,986.7214759540102,2309.472078205665,1726.443890609153,574.1035812810715,73.30380834660184,60.015676315824,3308.009876082156,566.3790406905242,-7167.58734759216
2011,19667.90550923412,6366.053448168976,1732.01861936165,5649.478548164547,998.8639689732466,2051.178937336148,1708.42639965658,585.7398386042307,68.79743109546216,105.80760432,3281.222564337939,576.1457489687457,-7066.763101845038
2012,19038.51520316368,6058.81807131121,1662.535124669,5668.09462407233,1023.95028585115,1799.353608378683,1692.620869818552,572.8365611917018,66.32778474167776,163.7299894045392,3220.917232159117,560.3060578710533,-6991.620554894595
2013,18339.14144828748,5778.78136425101,1655.586042080814,5367.304329827344,1091.095493800481,1717.704419474934,1678.915596273104,551.3756821333326,73.06932658995032,201.99633552,3368.385708887096,498.37852044645996,-5304.586333857736
2014,16678.66984457936,4452.255358931071,1662.394216396936,5383.31201974678,1128.304345723169,1419.551118109141,1721.452283447518,518.8798034899646,72.10723682560494,186.1664951068863,2952.35156216892,392.5206987347818,468.0688443435116
2015,16866.39948027183,4565.790202487384,1604.69141699807,5353.747959454742,1108.798090535365,1533.48909429074,1763.610101907941,531.732547142378,74.71998066516478,208.4089176,3206.968081797643,404.54006745520945,563.3987964669641
2016,17751.62449121275,4934.799387788671,1617.723918914042,5726.945141299557,1114.739383410253,1602.287106950443,1782.434835920687,539.9148004035252,61.050828517728,400.1547406651201,3181.373128679587,432.7799165255782,710.9011422385535
2017,17827.77898618812,4920.885613274526,1693.193970200479,5856.458601399291,1173.263768751868,1468.190534314485,1749.117983720161,521.7982415223353,74.2428269781324,504.3656120472,3094.045856832944,444.87027300497846,706.631535760773
2018,17645.98388550558,4805.996700024575,1790.050752408415,5835.176020166483,1196.249945662347,1362.665021358706,1748.929298173952,482.2445269656899,102.2011785540895,733.9296364776002,2955.380439082398,424.6716207454077,804.429008293737
2019,17151.95244209484,4579.599220198244,1747.244689137762,5625.18568894176,1206.189335265369,1349.067020974135,1768.627419686267,463.2161402311273,77.8290565610337,618.97835740464,2915.86086437064,412.8229276601765,-640.744187922047
2020,15929.76668733088,4514.766675116599,1702.649385852014,4575.713557529093,1153.64766774399,1355.022099452973,1773.361771848206,440.1147896079996,26.15753281411984,381.90217209912,2933.189631206103,414.4907401800067,-396.9243260138347
2021,16073.58881333814,4198.372080304202,1732.555035058429,5205.492546308518,1127.447356606783,1253.858977690213,1773.733925238289,418.8451449858387,26.94809003912536,282.84982465104,3221.509826564824,363.2837471458669,-320.9105003259546
2022,15615.08725425512,3415.580184169819,1605.367235979008,5794.232273170996,1138.911884394025,1261.456139431114,1706.324827020979,380.2160669525842,61.55052949268328,,2794.369407247855,312.998643136598,-169.3470295498522
