year,total,fuel_combustion_activities.total,fuel_combustion_activities.energy_industries,fuel_combustion_activities.manufacturing_construction,fuel_combustion_activities.transport,fuel_combustion_activities.other_sectors,fuel_combustion_activities.other,fugitive_emissions_from_fuels.total,fugitive_emissions_from_fuels.solid_fuels,fugitive_emissions_from_fuels.oil_natural_gas_and_energy_production,co2_transport_storage
2002,16314.89642738784,15760.93570526621,6563.202567921164,2244.527626783632,3904.168352321483,3045.774890649536,3.2622675904,553.9607221216212,501.2078032798195,52.75291884180171,
2003,15996.06426015292,15412.01694540406,6289.987325027238,2174.92920700854,3953.666424596537,2990.171721181347,3.2622675904,584.0473147488539,526.0482575629618,57.99905718589208,
2004,16394.8179629632,15810.88472935007,6422.238988138507,2325.438090669641,4132.137211291438,2927.65133187209,3.4191073784,583.9332336131212,526.6037531052657,57.32948050785547,
2005,16600.63061346446,16031.03108593394,6449.283897733463,2461.103479663697,4401.338486719485,2715.980218311699,3.3250035056,569.5995275305165,510.5203055955549,59.07922193496157,
2006,16787.29240727786,16206.81733769212,6505.65364948456,2599.94864496337,4637.346939012829,2460.543100725764,3.3250035056,580.4750695857413,523.2577804890935,57.21728909664779,
2007,16963.48765639976,16375.5992493916,6726.898652059666,2362.814375535351,5239.947181615161,2042.457196887822,3.4818432936,587.8884070081624,529.7839148603622,58.10449214780018,
2008,17966.42031976848,17396.69626195134,6500.178375851677,2334.85686114773,6159.07967847829,2399.028897044284,3.55244942936184,569.7240578171408,514.3417061395509,55.38235167758992,
2009,16180.31467916186,15619.51336168465,6216.703164691428,1957.241684003474,5158.764432965329,2283.465558585317,3.3385214390971,560.801317477213,508.9375466842403,51.86377079297282,
2010,16454.10491544267,15890.6142017832,6346.730894556922,1932.303533129637,5299.219368482122,2309.472078205791,2.88832740872364,563.4907136594696,509.6004560262323,53.8902576332373,
2011,16372.48382412917,15799.70625665967,6366.053448168976,1732.01861936165,5649.476969390869,2048.789037121608,3.36818261656348,572.7775674695093,527.2967094696114,45.48085799989788,
2012,15745.91005828504,15188.98040345491,6058.818071311212,1662.535124669,5668.060125583393,1796.190680255663,3.37640163563943,556.92965483013,513.685034328388,43.24462050174191,
2013,15015.12148018784,14519.75592421516,5778.78136425101,1655.586042080814,5367.270528846784,1715.105023322609,3.01296571394668,495.3655559726775,453.4974608832887,41.86809508938873,
2014,13308.0112591078,12919.24115178015,4452.255358931071,1662.394216396936,5383.263647751578,1417.577336925175,3.75059177539285,388.770107327648,351.2308046380788,37.53930268956917,
2015,13462.60437185618,13061.76216627138,4565.790202487384,1604.69141699807,5353.648884363555,1533.933800551959,3.69786187040816,400.8422055848013,361.0062970480279,39.83590853677336,
2016,14315.70367275086,13886.55825795813,4934.799387788671,1617.723918914042,5726.818184752282,1603.582264770285,3.63450173285192,429.1454147927263,386.8184012205342,42.32701357219212,
2017,14386.52605369849,13945.79136672825,4920.885613274526,1693.193970200479,5856.284530716071,1471.291666502438,4.13558603473736,440.7346869702411,396.1075529211423,44.62713404909876,
2018,14222.8541382654,13802.09145751389,4805.996700024575,1790.050752408415,5835.006116667818,1367.128948419185,3.90893999389432,420.7626807515134,377.024267029588,43.73841372192542,
2019,13718.38426920016,13309.56839423166,4579.599220198244,1747.244689137762,5624.997279783624,1353.72015242035,4.0070526916756,408.8158749685009,364.7830666151813,44.03280835331951,
2020,12561.8295122346,12150.51085676689,4514.766675116599,1702.649385852014,4575.48795380118,1354.434757284797,3.1720847123,411.3186554677067,367.3868570803043,43.93179838740235,
2021,12753.10082184994,12394.40736751538,4198.372080304202,1732.555035058429,5205.456914637582,1253.433044703854,4.5902928113112,358.6934543345557,312.6453405780825,46.0481137564731,
